metrik,nilai
intercept,23402.554545454546
slope,368.3272727272727
r_squared,0.9798770186621408
p_value_slope,0.010112623243360597
std_err_slope,37.32323296565108
slope_ci_low,207.73836251849963
slope_ci_high,528.9161829360457
residual_std_error,391.4493697669074
t_critical_95,4.302652729911275
df,2.0
n_observasi,4.0
