periode,tanggal,bulan_ke,total,fitted_total,residual
2025-06,2025-06-01,0,23338,23402.554545454546,-64.55454545454631
2026-05,2026-05-01,11,27875,27454.154545454545,420.84545454545514
2026-06,2026-06-01,12,27820,27822.48181818182,-2.481818181819108
2026-07,2026-07-01,13,27837,28190.80909090909,-353.8090909090897
